"zip","city","county","population"
62243,"Freeburg","St. Clair County",6418
62088,"Staunton","Macoupin County",6400
62230,"Breese","Clinton County",6377
62231,"Carlyle","Clinton County",6377
62995,"Vienna","Johnson County",6339
62278,"Red Bud","Monroe County",6281
62839,"Flora","Clay County",6183
62675,"Petersburg","Menard County",6170
61088,"Winnebago","Winnebago County",6167
60970,"Watseka","Iroquois County",5991
61616,"Peoria Heights","Peoria County",5825
60468,"Peotone","Will County",5809
61240,"Coal Valley","Rock Island County",5795
61873,"Saint Joseph","Champaign County",5779
62563,"Rochester","Sangamon County",5766
61362,"Spring Valley","Bureau County",5764
62930,"Eldorado","Saline County",5761
62684,"Sherman","Sangamon County",5760
60954,"Momence","Kankakee County",5742
60942,"Hoopeston","Vermilion County",5657
60957,"Paxton","Ford County",5596
62363,"Pittsfield","Pike County",5561
62681,"Rushville","Schuyler County",5553
62286,"Sparta","Randolph County",5491
61016,"Cherry Valley","Winnebago County",5465
62203,"East Saint Louis","St. Clair County",5465
61252,"Fulton","Whiteside County",5437
60480,"Willow Springs","Cook County",5388
62448,"Newton","Jasper County",5356
62951,"Johnston City","Williamson County",5342
60408,"Braidwood","Will County",5327
60040,"Highwood","Lake County",5301
62225,"Scott Air Force Base","St. Clair County",5242
60469,"Posen","Cook County",5205
60163,"Berkeley","Cook County",5199
62615,"Auburn","Sangamon County",5198
62353,"Mount Sterling","Brown County",5066
60551,"Sheridan","LaSalle County",5058
62859,"McLeansboro","Hamilton County",5004
60021,"Fox River Grove","McHenry County",4996
61231,"Aledo","Mercer County",4962
62201,"East Saint Louis","St. Clair County",4921
62561,"Riverton","Sangamon County",4842
62263,"Nashville","Washington County",4819
60964,"Saint Anne","Kankakee County",4777
61910,"Arcola","Douglas County",4769
60461,"Olympia Fields","Cook County",4761
60420,"Dwight","Livingston County",4682
60203,"Evanston","Cook County",4680
61739,"Fairbury","Livingston County",4628
60112,"Cortland","DeKalb County",4621
61610,"Creve Coeur","Tazewell County",4621
